person_id,task_difficulty,task_id,skill_1,skill_2,skill_3,skill_4,score,predicted_score,penalty_triggered,round
A,3,1,4.52,1.9349999999999998,2.0349999999999997,1.9549999999999998,86.63893127441406,77.99709,False,0
B,2,1,1.95,1.9449999999999998,1.9549999999999998,4.435,63.552669525146484,57.360752,False,0
C,4,3,1.8849999999999998,4.555,1.93,2.1149999999999998,67.31618081665039,76.048416,True,0
D,5,4,2.005,2.025,4.555,1.84,31.944033087979196,70.98233,True,0
A,2,2,4.524749999999999,1.9539999999999997,2.0397499999999997,1.9597499999999999,65.70051574707031,62.60695,False,1
B,4,2,1.95475,1.9639999999999997,1.9597499999999999,4.439749999999999,67.30782244110107,77.882675,True,1
C,5,2,1.8897499999999998,4.574,1.93475,2.11975,51.36629867553711,47.816387,False,1
D,3,4,2.00975,2.02975,4.559749999999999,1.859,76.2615776977539,84.0758,True,1
A,1,1,4.542799999999999,1.9585124999999997,2.0442625,1.9642624999999998,87.40596008300781,83.99645,False,2
B,5,2,1.9592625,1.9820499999999996,1.9642624999999998,4.444262499999999,38.92932450214863,71.291306,True,2
C,2,4,1.8942624999999997,4.5785124999999995,1.9392625,2.1378,70.74464416503906,68.2095,False,2
D,4,4,2.0142625,2.0342625,4.564262499999999,1.8770499999999999,64.99795687408448,77.82217,True,2
A,3,1,4.559947499999999,1.9627993749999997,2.048549375,1.9685493749999998,86.23165130615234,77.99709,False,3
B,1,4,1.963549375,1.9863368749999997,1.9685493749999998,4.461409999999999,68.68517303466797,72.56792,False,3
C,2,3,1.8985493749999998,4.582799375,1.95641,2.142086875,87.28140258789062,82.758095,False,3
D,4,4,2.018549375,2.038549375,4.568549374999999,1.8941975,64.65973176750182,77.82217,True,3
A,4,4,4.564020031249999,1.9668719062499997,2.0526219062499997,1.9848394999999999,43.35274903322768,49.5384,True,4
B,1,4,1.96762190625,1.9904094062499997,1.97262190625,4.477700124999999,68.62208557128906,72.56792,False,4
C,5,3,1.9026219062499998,4.58687190625,1.972700125,2.14615940625,21.02094281949124,71.73625,True,4
D,3,4,2.02262190625,2.04262190625,4.572621906249999,1.910487625,75.99226989786528,84.0758,True,4
A,1,4,4.567888935937499,1.9707408109374998,2.0564908109374995,2.0003151187499997,63.65831756591797,64.84546,False,5
B,1,2,1.9714908109375,2.0058850249999995,1.9764908109375,4.481569029687499,87.29293060302734,78.01848,False,5
C,2,3,1.9064908109374998,4.5907408109375,1.98817574375,2.1500283109374996,87.18495178222656,82.758095,False,5
D,2,4,2.0264908109374997,2.0464908109374997,4.576490810937499,1.92596324375,86.71307373046875,88.371445,False,5
A,5,2,4.571564395390624,1.9854426487499997,2.0601662703906247,2.003990578203125,21.583803495448905,46.739853,True,6
B,4,2,1.975166270390625,2.0205868628124994,1.9801662703906249,4.485244489140624,64.49658054390243,77.882675,True,6
C,4,3,1.9101662703906248,4.594416270390624,2.0028775815625,2.1537037703906248,64.60071463091808,76.048416,True,6
D,4,4,2.030166270390625,2.050166270390625,4.580166270390624,1.9406650815625,63.36330865527984,77.82217,True,6
A,3,1,4.585531141312499,1.9889343352304685,2.0636579568710935,2.0074822646835937,85.18113708496094,77.99709,False,7
B,1,2,1.9786579568710938,2.0345536087343743,1.9836579568710937,4.488736175621092,86.93922424316406,78.01848,False,7
C,2,4,1.9136579568710936,4.597907956871093,2.006369268042969,2.1676705163124996,70.65376281738281,68.2095,False,7
D,4,4,2.0336579568710937,2.0536579568710938,4.583657956871092,1.954631827484375,62.8746528431357,77.82217,True,7
A,2,2,4.588848243468944,2.0022027438562495,2.0669750590275386,2.010799366840039,64.77825927734375,62.60695,False,8
B,4,2,1.9819750590275391,2.0478220173601556,1.986975059027539,4.492053277777537,63.03511632800798,77.882675,True,8
C,2,3,1.916975059027539,4.601225059027538,2.0196376766687503,2.1709876184689447,86.68345642089844,82.758095,False,8
D,5,4,2.036975059027539,2.056975059027539,4.586975059027537,1.9679002361101563,32.4755921792741,70.98233,True,8
A,5,1,4.601453231663436,2.0053539909048728,2.070126306076162,2.013950613888662,74.69895935058594,74.588745,False,9
B,5,2,1.9851263060761621,2.0604270055546476,1.990126306076162,4.4952045248261605,29.68335637650259,71.291306,True,9
C,5,4,1.920126306076162,4.604376306076161,2.0227889237173735,2.183592606663437,17.72280083462771,48.83362,True,9
D,4,4,2.040126306076162,2.060126306076162,4.590126306076161,1.9805052243046484,61.86401706802876,77.82217,True,9
A,5,1,4.613427970448204,2.0083476756010645,2.0731199907723536,2.016944298584854,74.12702941894531,74.588745,False,10
B,1,1,1.9971010448609297,2.0634206902508394,1.993119990772354,4.498198209522353,65.91871643066406,59.34505,False,10
C,1,1,1.9321010448609295,4.607369990772353,2.0257826084135653,2.1865862913596286,65.17947387695312,63.556725,False,10
D,4,4,2.043119990772354,2.063119990772354,4.593119990772353,1.9924799630894159,61.35432289773853,77.82217,True,10
A,1,3,4.616271970909587,2.0111916760624466,2.084495992617883,2.019788299046236,65.43574523925781,64.03259,False,11
B,1,4,1.999945045322312,2.0662646907122215,1.9959639912337364,4.509574211367882,68.21806335449219,72.56792,False,11
C,1,3,1.9349450453223118,4.610213991233736,2.0371586102590946,2.1894302918210107,86.99910736083984,83.197464,False,11
D,3,4,2.045963991233736,2.065963991233736,4.595963991233735,2.003855964934945,73.88977918084245,84.0758,True,11
A,1,3,4.6189737713479,2.0138934765007597,2.0953031943711355,2.022490099484549,65.35786437988281,64.03259,False,12
B,2,2,2.002646845760625,2.077071892465474,1.9986657916720496,4.512276011806195,83.52668762207031,79.60584,False,12
C,5,3,1.937646845760625,4.612915791672049,2.047965812012347,2.1921320922593237,27.179558444358584,71.73625,True,12
D,3,4,2.048665791672049,2.068665791672049,4.598665791672048,2.0146631666881976,81.62000274658203,84.0758,False,12
A,4,1,4.62924061301349,2.0164601869171572,2.097869904787533,2.0250568099009465,78.55589294433594,75.93441,False,13
B,1,2,2.0052135561770226,2.0873387341310643,2.001232502088447,4.514842722222593,85.36425018310547,78.01848,False,13
C,1,3,1.9402135561770226,4.6154825020884465,2.0582326536779374,2.1946988026757213,86.66990661621094,83.197464,False,13
D,4,4,2.0512325020884465,2.0712325020884466,4.601232502088446,2.024930008353788,59.85765665657153,77.82217,True,13
A,5,4,4.631678987909067,2.018898561812735,2.100308279683111,2.034810309483257,21.70111673323302,46.185944,True,14
B,1,3,2.0076519310726004,2.089777109026642,2.0109860016707577,4.51728109711817,71.90813446044922,68.679634,False,14
C,4,3,1.9426519310726003,4.617920876984024,2.067986153260248,2.197137177571299,59.62625534801374,76.048416,True,14
D,3,4,2.0536708769840244,2.0736708769840244,4.603670876984023,2.0346835079360983,80.50460052490234,84.0758,False,14
